blockname,availability,timeblock
SHG/MARFC/PRECIP/QPF-QPF,a,26JAN2017:1200/26JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,26JAN2017:1800/26JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,27JAN2017:0000/27JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,27JAN2017:0600/27JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,27JAN2017:1200/27JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,27JAN2017:1800/27JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,28JAN2017:0000/28JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,28JAN2017:0600/28JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,28JAN2017:1200/28JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,28JAN2017:1800/28JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,29JAN2017:0000/29JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,29JAN2017:0600/29JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,29JAN2017:1200/29JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,29JAN2017:1800/29JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,30JAN2017:0000/30JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,30JAN2017:0600/30JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,30JAN2017:1200/30JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,30JAN2017:1800/30JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,31JAN2017:0000/31JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,31JAN2017:0600/31JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,31JAN2017:1200/31JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,31JAN2017:1800/31JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,01FEB2017:0000/01FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,01FEB2017:0600/01FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,01FEB2017:1200/01FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,01FEB2017:1800/01FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,02FEB2017:0000/02FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,02FEB2017:0600/02FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,02FEB2017:1200/02FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,02FEB2017:1800/02FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,03FEB2017:0000/03FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,03FEB2017:0600/03FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,03FEB2017:1200/03FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,03FEB2017:1800/03FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,04FEB2017:0000/04FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,04FEB2017:0600/04FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,04FEB2017:1200/04FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,04FEB2017:1800/04FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,05FEB2017:0000/05FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,05FEB2017:0600/05FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,05FEB2017:1200/05FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,05FEB2017:1800/05FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,06FEB2017:0000/06FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,06FEB2017:0600/06FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,06FEB2017:1200/06FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,06FEB2017:1800/06FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,07FEB2017:0000/07FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,07FEB2017:0600/07FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,07FEB2017:1200/07FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,07FEB2017:1800/07FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,08FEB2017:0000/08FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,08FEB2017:0600/08FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,08FEB2017:1200/08FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,08FEB2017:1800/08FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,09FEB2017:0000/09FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,09FEB2017:0600/09FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,09FEB2017:1200/09FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,09FEB2017:1800/09FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,10FEB2017:0000/10FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,10FEB2017:0600/10FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,10FEB2017:1200/10FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,10FEB2017:1800/10FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,11FEB2017:0000/11FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,11FEB2017:0600/11FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,11FEB2017:1200/11FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,11FEB2017:1800/11FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,12FEB2017:0000/12FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,12FEB2017:0600/12FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,12FEB2017:1200/12FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,12FEB2017:1800/12FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,13FEB2017:0000/13FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,13FEB2017:0600/13FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,13FEB2017:1200/13FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,13FEB2017:1800/13FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,14FEB2017:0000/14FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,14FEB2017:0600/14FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,14FEB2017:1200/14FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,14FEB2017:1800/14FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,15FEB2017:0000/15FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,15FEB2017:0600/15FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,15FEB2017:1200/15FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,15FEB2017:1800/15FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,16FEB2017:0000/16FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,16FEB2017:0600/16FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,16FEB2017:1200/16FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,16FEB2017:1800/16FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,17FEB2017:0000/17FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,17FEB2017:0600/17FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,17FEB2017:1200/17FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,17FEB2017:1800/17FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,18FEB2017:0000/18FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,18FEB2017:0600/18FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,18FEB2017:1200/18FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,18FEB2017:1800/18FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,19FEB2017:0000/19FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,19FEB2017:0600/19FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,19FEB2017:1200/19FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,19FEB2017:1800/19FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,20FEB2017:0000/20FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,20FEB2017:0600/20FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,20FEB2017:1200/20FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,20FEB2017:1800/20FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,21FEB2017:0000/21FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,21FEB2017:0600/21FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,21FEB2017:1200/21FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,21FEB2017:1800/21FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,22FEB2017:0000/22FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,22FEB2017:0600/22FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,22FEB2017:1200/22FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,22FEB2017:1800/22FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,23FEB2017:0000/23FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,23FEB2017:0600/23FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,23FEB2017:1200/23FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,23FEB2017:1800/23FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,24FEB2017:0000/24FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,24FEB2017:0600/24FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,24FEB2017:1200/24FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,24FEB2017:1800/24FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,25FEB2017:0000/25FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,25FEB2017:0600/25FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,25FEB2017:1200/25FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,25FEB2017:1800/25FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,26FEB2017:0000/26FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,26FEB2017:0600/26FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,26FEB2017:1200/26FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,26FEB2017:1800/26FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,27FEB2017:0000/27FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,27FEB2017:0600/27FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,27FEB2017:1200/27FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,27FEB2017:1800/27FEB2017:2400
SHG/MARFC/PRECIP/QPF-QPF,m,28FEB2017:0000/28FEB2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,28FEB2017:0600/28FEB2017:1200
SHG/MARFC/PRECIP/QPF-QPF,m,28FEB2017:1200/28FEB2017:1800
SHG/MARFC/PRECIP/QPF-QPF,m,28FEB2017:1800/28FEB2017:2400
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:0000/01JAN2017:0100
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:0100/01JAN2017:0200
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:0200/01JAN2017:0300
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:0300/01JAN2017:0400
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:0400/01JAN2017:0500
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:0500/01JAN2017:0600
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:0600/01JAN2017:0700
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:0700/01JAN2017:0800
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:0800/01JAN2017:0900
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:0900/01JAN2017:1000
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:1000/01JAN2017:1100
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:1100/01JAN2017:1200
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:1200/01JAN2017:1300
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:1300/01JAN2017:1400
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:1400/01JAN2017:1500
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:1500/01JAN2017:1600
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:1600/01JAN2017:1700
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:1700/01JAN2017:1800
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:1800/01JAN2017:1900
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:1900/01JAN2017:2000
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:2000/01JAN2017:2100
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:2100/01JAN2017:2200
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:2200/01JAN2017:2300
SHG/MARFC/PRECIP/STAGEIII,m,01JAN2017:2300/01JAN2017:2400
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:0000/02JAN2017:0100
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:0100/02JAN2017:0200
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:0200/02JAN2017:0300
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:0300/02JAN2017:0400
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:0400/02JAN2017:0500
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:0500/02JAN2017:0600
